serial,constituency_number,township,ward_village
1,1,ီ ် လာန်း ကျးရွာ,့  2။ ြပည် တာ်သာရပ်ကွက် (ဟားခါး မို ့)
1,1,ီ ် လာန်း ကျးရွာ,3။ မို ့သစ်ရပ်ကွက်  (ဟားခါး မို ့)
1,1,ီ ် လာန်း ကျးရွာ,4။ မို ့ ဟာင်းရပ်ကွက(် ဟားခါး မို ့)
1,1,ီ ် လာန်း ကျးရွာ,5။ ခွာဘဲ  ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,6။ ခ န်ကျုး ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,7။ ဇိးခွား ကျးရွာ  အပ်စ
1,1,ီ ် လာန်း ကျးရွာ,8။ ဒါအိချိမ်း ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,9။ နှရ  အပ်စ
1,1,ီ ် လာန်း ကျးရွာ,10။ ဖါ ရွနး် ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,11။ ဗန်ဟား ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,12။ ဘွာလ်တပ် ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,13။ မာလ် ဆာမ် ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,14။ ရင်ပးီ ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,15။ ရွာန်း ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,16။ သီနမ်း  ကျးရွာ အပ်စ
1,1,ီ ် လာန်း ကျးရွာ,17။ သီဖူလ်း ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,18။ ဟရန်ဟရိန်း  ကျးရွာအပ်စ
1,1,ီ ် လာန်း ကျးရွာ,19။ ဟိင်ဖိင် ကျးရွာအပ်စ။
2,2,ကျးရွာအပ်စ။,ဟားခါး မို ့နယ်အတွငး် ရှိ 1။  2။ စျးသစ်ရပ်ကက  ွ ်(ဟားခါး မို ့)
2,2,ကျးရွာအပ်စ။,3။ ကျန်ဗား ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,4။ ခွာပီး ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,5။ ဆတ္တ ား ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,6။ ဆွမဆ  ကျးရွာအပ်စ
2,2,ကျးရွာအပ်စ။,7။ ဆူရခ  ် ာွ း ကျးရွာအပ်စ
