serial,constituency_number,township,ward_village
12,12,တနသာရီတိင်း ဒသ ကီး,လဟယ် မို ့နယ် နှင့် နန်းယွန်း မို ့နယ်)
1,1,တနသာရီတိင်း ဒသ ကီး,ထားဝယ် မို ့နယ် တစ်ခလး။
2,2,တနသာရီတိင်း ဒသ ကီး,လာင်းလး မို ့နယ် တစ်ခလး။
3,3,တနသာရီတိင်း ဒသ ကီး,သရက် ချာင်း မို ့နယ် တစ်ခလး။
4,4,တနသာရီတိင်း ဒသ ကီး,ရြဖူ မို ့နယ် တစ်ခလး။
5,5,တနသာရီတိင်း ဒသ ကီး,မိတ် မို ့နယ်အတွင်းရှိ 1။ စျးတန်းရပ်ကွက် ( မိတ် မို ့)
5,5,တနသာရီတိင်း ဒသ ကီး,2။ကန်  ခါင်းရပ်ကွက် ( မိတ် မို ့)
5,5,တနသာရီတိင်း ဒသ ကီး,3။ ြမစ်ငယ်ရပ်ကွက် ( မိတ် မို ့)
5,5,တနသာရီတိင်း ဒသ ကီး,4။ ရပန်းရပ်ကွက် ( မိတ် မို ့)
5,5,တနသာရီတိင်း ဒသ ကီး,5။ ကန်ဖျားရပ်ကွက် ( မိတ် မို ့)
5,5,တနသာရီတိင်း ဒသ ကီး,6။အလယ်က န်းရပ်ကွက် ( မိတ် မို ့)
5,5,တနသာရီတိင်း ဒသ ကီး,7။ ကလွင် ကျးရွာ အပ်စ
5,5,တနသာရီတိင်း ဒသ ကီး,8။ စန္ဒဝတ် ကျးရွာ အပ်စ
5,5,တနသာရီတိင်း ဒသ ကီး,9။ အလယ် ချာင်း ကျးရွာ အပ်စ
5,5,တနသာရီတိင်း ဒသ ကီး,10။  ပင်းအိ ကျးရွာအပ်စ
5,5,တနသာရီတိင်း ဒသ ကီး,11။  သဘွတ် ကျးရွာအပ်စ
5,5,တနသာရီတိင်း ဒသ ကီး,12။  သမတ် ကျးရွာအပ်စ
5,5,တနသာရီတိင်း ဒသ ကီး,13။  သစ်ယာဝ ကျးရွာအပ်စ
